Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Ninja Gaiden,XB,2004,Action,Microsofts,0.92,0.2,0.07,0.04,1.23,91,89,8.8,152,Others,M
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Others,0.59,0.57,0,0.07,1.23,70,16,8.1,19,Trav. Tales,E
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0,0.16,1.23,57,51,5.5,102,Others,M
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,63,38,7.2,69,Others,M
LEGO The Lord of the Rings,X360,2012,Action,Wanrner Bros.,0.64,0.49,0,0.11,1.23,80,49,8.5,73,TT Games,E10+
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76,81,8.3,662,Omega Force,T
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80,22,9.1,37,Others,E
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1,0.13,0,0.1,1.23,70,59,6.7,48,Neversoft,T
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75,31,7.3,42,EA Canada,E10+
Ben 10: Protector of Earth,Wii,2007,Action,Others,0.54,0.55,0,0.13,1.23,63,6,7.7,9,Others,E10+
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82,56,7.8,57,EA Canada,E
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai,0.29,0.18,0.67,0.09,1.22,78,65,8.2,468,Others,T
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22,63,39,7.5,27,Others,E
Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,80,43,8.5,48,Others,E
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,86,29,9.5,150,Others,E
Max Payne,XB,2001,Shooter,Take-Two Inc.,0.98,0.19,0,0.05,1.22,89,24,8.3,61,Others,M
NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22,89,19,7.8,16,Visual Concepts,E
Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21,71,30,8.4,12,Others,E
Fuzion Frenzy,XB,2001,Misc,Microsofts,0.93,0.24,0,0.04,1.21,70,28,6.9,16,Others,E
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21,73,55,7.8,22,Others,T
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21,85,52,7.7,164,Others,E10+
Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1.05,0.05,0.01,0.1,1.21,69,22,8.5,111,Others,T
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21,85,69,8.1,206,Capcom,T
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony,1.03,0.14,0,0.04,1.21,86,41,8.6,184,Others,E
WWE 2K16,PS4,2015,Sports,Take-Two Inc.,0.41,0.6,0,0.2,1.21,73,47,7.4,237,Yuke's,T
Dino Crisis 2,PS,2000,Action,Others,0.34,0.49,0.28,0.1,1.21,86,13,9,91,Capcom,M
Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83,24,9,45,Electronic Arts,E
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai,0.42,0.46,0.15,0.18,1.21,76,34,8.3,130,Others,T
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.69,0.03,0.25,1.21,75,16,7.6,39,Electronic Arts,T
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71,27,5.1,299,Others,M
Bayonetta,PS3,2009,Action,Sega,0.44,0.39,0.21,0.16,1.21,87,54,7.7,355,Others,M
Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.71,0.38,0,0.12,1.21,85,61,8.6,105,Others,E
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Others,0.59,0.46,0,0.15,1.2,59,19,5.1,20,Others,T
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.44,0.63,0,0.14,1.2,73,19,8.2,10,Maxis,T
ATV Offroad Fury 3,PS2,2004,Racing,Others,1,0.04,0,0.16,1.2,78,37,8.4,16,Others,E
F1 2011,PS3,2011,Racing,Codemasters,0.12,0.74,0.11,0.24,1.2,82,36,7.1,55,Codemasters,E
Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,90,54,9.1,137,Nintendo,E
Enter the Matrix,XB,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2,65,33,7.1,75,Others,T
Cars,PSP,2006,Racing,THQ,0.72,0.28,0,0.2,1.2,70,17,7,4,Others,E
NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0,0.15,1.2,92,22,8.5,26,EA Sports,E
FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,0.13,0.69,0.01,0.36,1.2,68,6,5.4,9,EA Sports,E
The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0,0.02,1.19,55,14,6.8,9,Others,E
LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Wanrner Bros.,0.5,0.5,0,0.19,1.19,81,28,7.5,81,Trav. Tales,E10+
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,81,78,8.6,377,Others,E
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,0.92,0.23,0,0.04,1.19,71,4,7.7,7,Vicarious Visions,E
Pro Evolution Soccer 2008,Wii,2008,Sports,Konami,0.09,0.84,0.11,0.15,1.19,83,19,8.4,43,Konami,E
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.85,0.23,0,0.12,1.19,89,11,5.2,393,Others,T
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0,0.16,1.19,75,46,8.6,113,Others,M
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.45,0.47,0,0.28,1.19,68,11,7.8,15,Yuke's,T
Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19,76,14,7.3,11,Treyarch,E
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.73,0.03,0.36,0.07,1.19,76,32,7.9,17,Others,E
Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami,0.38,0.35,0.38,0.08,1.18,87,54,8.2,147,Others,M
Injustice: Gods Among Us,PS3,2013,Fighting,Wanrner Bros.,0.48,0.5,0.01,0.2,1.18,78,37,7.9,282,Others,T
Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,88,9,9.4,201,Others,T
Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.19,0,0.09,1.18,77,23,7.7,36,Ubisoft,E10+
Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0,0.02,1.18,95,16,7.5,22,Vicarious Visions,E
One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai,0.01,0.23,0.86,0.08,1.18,64,33,6.5,55,Others,T
Gun,PS2,2005,Shooter,Activision,0.98,0.04,0,0.16,1.17,77,43,8.7,70,Neversoft,M
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0,0.15,1.17,70,14,8.8,60,Others,E
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.24,0.36,0.1,1.17,52,36,4.9,222,Others,M
LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,0.4,0.48,0,0.29,1.17,76,8,7.6,11,Trav. Tales,E10+
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.53,0.16,0.42,0.06,1.17,62,22,7.2,36,Others,E
WWE '12,PS3,2011,Fighting,THQ,0.53,0.45,0.02,0.17,1.17,72,28,6.9,80,Yuke's,T
Cabela's Dangerous Hunts,PS2,2003,Sports,Others,0.57,0.45,0,0.15,1.17,57,4,8.4,37,Others,T
Grand Theft Auto V,PC,2015,Action,Take-Two Inc.,0.39,0.69,0,0.09,1.17,96,57,7.9,3756,Others,M
Fallout: New Vegas,PC,2010,Role-Playing,Others,0.59,0.45,0,0.14,1.17,84,39,8.6,2754,Others,M
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.48,0.48,0.01,0.2,1.17,81,38,8.1,55,Yuke's,T
Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,0.76,0.36,0,0.05,1.17,65,23,5.8,28,Others,T
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74,43,7.3,118,Others,M
Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0,0.08,1.17,84,75,5.3,1711,Maxis,E10+
Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,81,43,8,31,Nintendo,E
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.46,0,0.19,1.16,76,36,7.3,34,Trav. Tales,E10+
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Inc.,0.97,0.04,0,0.16,1.16,85,19,8.9,53,Others,E10+
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0,0.15,1.16,70,31,6.3,24,Others,T
Bushido Blade,PS,1997,Fighting,Sony,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16,Others,T
Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.16,79,82,7.6,328,Others,T
Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.06,0.04,0.66,1.16,43,17,4.1,176,Others,E10+
NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0,0.15,1.16,85,17,8.5,22,EA Sports,E
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.36,0,0.1,1.16,77,13,7.6,21,Ubisoft,E
FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0,0.09,1.16,88,22,5.8,328,EA Canada,E
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.24,0.3,0.16,1.16,88,41,8,238,Others,T
Sniper: Ghost Warrior,X360,2010,Shooter,Others,0.54,0.5,0,0.12,1.16,45,39,5.8,89,Others,M
Sonic Rush Adventure,DS,2007,Platform,Sega,0.53,0.48,0.01,0.12,1.15,78,32,8.2,66,Others,E
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1.14,0,0.01,1.15,83,29,8.1,30,Others,E
Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0,0.15,1.15,73,15,8.3,30,Midway,T
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.15,69,20,7.3,30,Others,T
Bad Boys: Miami Takedown,PS2,2004,Shooter,Others,0.56,0.44,0,0.15,1.15,43,5,3.4,13,Others,M
Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.59,0.45,0.01,0.1,1.15,53,43,5.4,437,Others,M
FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,0.15,0.67,0.01,0.31,1.15,83,9,7.9,14,EA Sports,E
Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,76,55,8.3,21,Namco,E
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0,1.12,0,0.03,1.15,92,40,8.5,2360,Others,M
Tak and the Power of Juju,PS2,2003,Platform,THQ,0.56,0.44,0,0.15,1.15,68,28,9,28,Others,E
WWE 2K15,PS4,2014,Sports,Take-Two Inc.,0.39,0.57,0,0.19,1.15,62,44,5.1,164,Yuke's,T
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,79,33,8.4,38,Others,M
Shadow of the Colossus,PS2,2005,Action,Sony,0.78,0.03,0.2,0.13,1.14,91,77,9.1,933,Others,T
Brave Fencer Musashi,PS,1998,Role-Playing,Others,0.25,0.17,0.65,0.07,1.14,81,12,8.5,17,Others,E
Ninja Gaiden Sigma,PS3,2007,Action,Eidos,0.57,0.32,0.09,0.16,1.14,88,46,7.5,155,Others,M
WWE 2K14,PS3,2013,Sports,Take-Two Inc.,0.49,0.46,0,0.19,1.14,74,22,7.5,121,Yuke's,T
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,56,36,7.1,50,Others,E10+
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65,42,6.6,47,Treyarch,T
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami,0.95,0.04,0,0.16,1.14,76,27,9,21,Others,E10+
The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,0.71,0.38,0,0.05,1.14,84,31,9.1,31,Others,T
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony,0.31,0.03,0.76,0.04,1.14,81,66,8.8,32,Others,E
Sunset Overdrive,XOne,2014,Shooter,Microsofts,0.63,0.4,0,0.1,1.14,81,89,7.7,1137,Others,M
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,73,15,8.8,32,Capcom,T
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai,0.41,0.45,0.11,0.17,1.14,79,60,8.2,201,Others,T
MechAssault,XB,2002,Simulation,Microsofts,1.01,0.1,0,0.03,1.13,87,32,8,47,Others,T
Cars,GBA,2006,Racing,THQ,0.81,0.3,0,0.02,1.13,50,8,4.7,6,Others,E
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0,0.18,1.13,83,88,7.8,621,Ubisoft,M
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0,0.09,1.13,67,25,6.1,31,Trav. Tales,E10+
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0,0.02,1.13,84,55,8.6,14,Ubisoft,M
Mirror's Edge,PS3,2008,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13,79,66,7.8,362,Others,T
Guitar Hero 5,X360,2009,Misc,Activision,0.65,0.37,0,0.11,1.13,85,69,6.8,108,Neversoft,T
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79,50,8.1,795,Others,M
Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,73,51,8.6,209,Others,E10+
SingStar,PS3,2007,Misc,Sony,0.45,0.56,0,0.12,1.13,82,48,5.9,15,Others,T
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73,73,7.6,179,Nintendo,E
Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0,0.14,1.12,57,15,7.6,9,Others,E
Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.25,0.74,0,0.14,1.12,78,50,8.3,32,Others,E10+
ModNation Racers,PS3,2010,Racing,Sony,0.5,0.4,0.06,0.16,1.12,82,85,8.4,201,Others,E
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony,1.03,0,0.01,0.08,1.12,82,44,8.6,63,Others,M
Rocksmith,PS3,2011,Misc,Ubisoft,0.53,0.36,0.09,0.15,1.12,80,27,8.3,52,Ubisoft,T
Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision,0.66,0.4,0,0.05,1.12,78,46,5.1,27,Treyarch,T
Rocksmith,X360,2011,Misc,Ubisoft,0.84,0.19,0.01,0.08,1.12,77,30,8.2,62,Ubisoft,T
Guitar Hero 5,PS2,2009,Misc,Activision,0.28,0.3,0,0.54,1.12,71,4,2.6,10,Others,T
Worldwide Soccer Manager 2008,PC,2007,Sports,Others,0,1.12,0,0,1.12,86,15,8,19,Others,E
Yakuza 3,PS3,2009,Action,Sega,0.21,0.2,0.62,0.08,1.12,79,77,8.1,165,Others,M
Persona 4: Golden,PSV,2012,Role-Playing,Others,0.36,0.23,0.38,0.15,1.12,93,61,9.2,1228,Others,M
Spider-Man 2,XB,2004,Action,Activision,0.82,0.26,0,0.04,1.12,83,60,8.3,40,Treyarch,T
Crackdown 2,X360,2010,Shooter,Microsofts,0.63,0.36,0.02,0.1,1.12,70,91,6,202,Others,M
The Beatles: Rock Band,PS3,2009,Misc,Others,0.67,0.29,0,0.15,1.12,88,60,8.7,59,Others,T
Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79,75,4.5,2380,Others,M
Counter-Strike,XB,2003,Shooter,Microsofts,0.85,0.23,0,0.04,1.11,74,38,7.6,51,Others,M
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,Others,0.92,0.04,0,0.15,1.11,69,50,6.3,31,Others,T
Fight Night Champion,PS3,2011,Fighting,Electronic Arts,0.45,0.49,0,0.18,1.11,84,52,7.3,95,EA Canada,M
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,Ubisoft,0.68,0.38,0,0.05,1.11,94,70,9,160,Ubisoft,M
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87,79,8.7,664,Nintendo,E10+
WWE 2K14,X360,2013,Sports,Take-Two Inc.,0.64,0.37,0,0.1,1.11,75,43,7.7,100,Yuke's,T
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai,0.3,0.52,0.12,0.16,1.11,69,50,7.7,598,Others,T
Castlevania: Lords of Shadow,PS3,2010,Action,Konami,0.5,0.35,0.1,0.15,1.1,85,62,8,468,Others,M
Plants vs. Zombies,DS,2011,Strategy,Others,0.9,0.12,0,0.08,1.1,81,23,7.4,29,Others,E10+
Tales of Symphonia,GC,2003,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,86,60,8.5,176,Namco,T
LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.47,0.42,0.13,0.08,1.1,80,66,8.2,283,TT Games,E10+
Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.53,0.45,0,0.12,1.1,61,16,6.9,14,Others,E10+
GRID,PS3,2008,Racing,Codemasters,0.31,0.56,0.03,0.2,1.1,87,39,8.1,109,Codemasters,E
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.1,73,54,6.7,77,Electronic Arts,T
Star Ocean: The Second Story,PS,1998,Role-Playing,Sony,0.26,0.1,0.72,0.02,1.1,80,13,8.5,44,Others,E
NCAA Football 14,X360,2013,Sports,Electronic Arts,1.01,0,0,0.08,1.09,77,18,5.8,74,EA Tiburon,E
Yakuza 2,PS2,2006,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,77,34,8.1,52,Others,M
Guitar Hero 5,PS3,2009,Misc,Activision,0.53,0.39,0,0.17,1.09,86,54,5.7,87,Neversoft,T
Dragon Ball Z: The Legacy of Goku II,GBA,2003,Role-Playing,Atari,0.78,0.29,0,0.02,1.09,75,21,8.9,39,Others,E
NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.91,0.09,0,0.09,1.09,66,13,4.4,7,Others,E10+
NFL 2K1,DC,2000,Sports,Sega,1.02,0.05,0,0.02,1.09,97,22,6,47,Visual Concepts,E
Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.09,68,51,7.6,58,Others,T
Project CARS,PS4,2015,Racing,Others,0.2,0.7,0.02,0.16,1.09,83,37,6.6,363,Others,E
Madden NFL 2004,XB,2003,Sports,Electronic Arts,1.02,0.02,0,0.05,1.09,92,27,8.3,48,EA Tiburon,E
Sonic and the Black Knight,Wii,2009,Platform,Sega,0.64,0.34,0.01,0.1,1.09,54,51,6.9,198,Others,E10+
The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75,56,8.3,99,Electronic Arts,M
Sonic Free Riders,X360,2010,Racing,Sega,0.74,0.25,0,0.09,1.09,47,52,2.1,98,Others,E
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0,0.14,1.09,65,32,8.3,33,Others,T
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,0.44,0.46,0.01,0.18,1.09,74,42,6.9,41,Yuke's,T
NCAA Football 13,X360,2012,Action,Electronic Arts,1.02,0,0,0.07,1.09,76,20,5.5,65,EA Tiburon,E
Skate 2,X360,2009,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,84,70,8,72,Others,T
NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,0.53,0.41,0,0.14,1.08,88,15,8.9,77,EA Tiburon,E
Namco Museum Battle Collection,PSP,2005,Misc,Sony,0.75,0.18,0,0.16,1.08,73,28,7.2,9,Others,E10+
Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0,0.1,1.08,90,62,6.9,2981,Others,T
Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.51,0.08,0.2,1.08,85,47,7.4,67,Others,T
Dante's Inferno,PS3,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,75,69,7.5,265,Others,M
Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0,0.1,1.08,58,21,6,19,Others,T
Forza Horizon 3,XOne,2016,Racing,Microsofts,0.42,0.58,0,0.08,1.08,91,90,7.4,594,Others,E
Star Wars: The Force Unleashed,PSP,2008,Action,LucasArts,0.43,0.4,0,0.24,1.08,70,10,8.1,49,Others,T
Dragon Ball Z: Taiketsu,GBA,2003,Fighting,Atari,0.77,0.29,0,0.02,1.08,40,23,6.1,22,Others,T
Star Fox: Assault,GC,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,67,59,8.1,106,Namco,T
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0,0.09,1.08,69,6,7.3,121,Others,E10+
The Simpsons Game,PSP,2007,Action,Electronic Arts,0.24,0.54,0,0.3,1.07,59,7,6.7,15,Others,T
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,0.96,0.03,0,0.08,1.07,47,9,5,38,Others,E
Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0,0.15,1.07,82,14,7.4,83,Treyarch,T
FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0,0.12,1.07,73,17,7.3,8,EA Sports,E
Prince of Persia,PS3,2008,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,85,59,7.3,245,Ubisoft,T
Tomb Raider: Underworld,X360,2008,Action,Eidos,0.53,0.42,0.01,0.11,1.07,76,57,6.6,198,Others,T
Pro Evolution Soccer 2008,X360,2007,Sports,Konami,0.08,0.9,0.04,0.05,1.07,76,29,7.8,36,Konami,E
SoulCalibur III,PS2,2005,Fighting,Namco Bandai,0.74,0.15,0.13,0.05,1.07,86,57,8.4,96,Namco,T
Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.6,0.36,0,0.11,1.07,88,44,8.8,57,EA Tiburon,E
World Tour Soccer,PSP,2005,Sports,Sony,0.1,0.63,0,0.34,1.07,70,31,5.6,5,Others,E
Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai,0.49,0.34,0.09,0.15,1.07,75,32,8.6,95,Others,T
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,66,62,5.9,552,Square Enix,T
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0,0.14,1.06,75,43,8.5,84,Midway,M
Freekstyle,PS2,2002,Racing,Electronic Arts,0.52,0.41,0,0.14,1.06,81,25,7.3,14,Others,E
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Inc.,0.28,0.49,0.03,0.27,1.06,90,77,7.3,146,Others,M
Spore Creatures,DS,2008,Simulation,Electronic Arts,0.66,0.3,0,0.1,1.06,65,20,6.5,21,Others,E
The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.58,0,0.21,1.06,89,21,8.4,188,Others,M
DJ Hero,X360,2009,Misc,Activision,0.56,0.39,0,0.11,1.06,84,72,8,42,Others,T
Bully: Scholarship Edition,X360,2008,Action,Take-Two Inc.,0.53,0.4,0.03,0.11,1.06,80,56,8.3,154,Others,T
NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0,0.14,1.06,89,36,8.7,37,EA Canada,E
Hulk,PS2,2003,Action,Others,0.52,0.41,0,0.14,1.06,71,28,8.3,22,Others,T
Overwatch,XOne,2016,Shooter,Activision,0.63,0.33,0,0.1,1.06,91,18,5.6,668,Others,T
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0,0.11,1.06,64,64,7.3,247,Others,M
Skylanders Giants,PS3,2012,Action,Activision,0.36,0.49,0,0.2,1.06,77,21,6.3,18,Others,E10+
Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0,0,1.06,87,21,9.1,639,Others,M
Endless Ocean,Wii,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,72,42,8.1,61,Others,E
Spider-Man 2,GBA,2004,Action,Activision,0.76,0.28,0,0.02,1.06,65,12,7.7,6,Others,E
Seek and Destroy,PS2,2002,Racing,Others,0.52,0.4,0,0.14,1.06,63,9,8.8,10,Others,T
Darksiders,X360,2010,Action,THQ,0.67,0.28,0.01,0.1,1.06,83,81,7.9,292,Others,M
Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,72,69,7.2,152,Others,T
Warhawk,PS3,2007,Simulation,Sony,0.49,0.39,0,0.17,1.06,84,50,8.4,183,Others,T
DiRT 3,PS3,2011,Racing,Codemasters,0.27,0.57,0.01,0.2,1.06,87,52,7.1,122,Codemasters,T
Sega Superstars Tennis,Wii,2008,Sports,Sega,0.28,0.65,0,0.13,1.05,71,24,7,16,Others,E10+
DiRT,PS3,2007,Racing,Codemasters,0.16,0.66,0,0.23,1.05,83,32,8,32,Codemasters,E
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,0.95,0.01,0.01,0.08,1.05,75,22,6.9,36,Others,T
Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,0.46,0.31,0.2,0.09,1.05,75,55,8,60,Others,M
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony,0.81,0.11,0,0.13,1.05,81,31,9,36,Others,T
NBA 2K3,PS2,2002,Sports,Sega,0.51,0.4,0,0.13,1.05,89,21,8,22,Visual Concepts,E
LEGO The Lord of the Rings,PS3,2012,Action,Wanrner Bros.,0.37,0.49,0,0.19,1.05,82,16,8.3,85,TT Games,E10+
The Simpsons: Road Rage,XB,2001,Racing,Electronic Arts,0.78,0.26,0,0.01,1.05,61,17,8.3,6,Others,T
Dave Mirra Freestyle BMX,PS,2000,Sports,Others,0.91,0.11,0,0.03,1.05,82,14,8.4,5,Others,E
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70,57,6.1,279,EA Sports,T
